name_short,iso,region_who,status_who,status_covax,status_csc,income_group,pop,pop_hcw,pop_old
Aruba,ABW,AMR,territory,,,HIC,106766.0,,24177.0
Afghanistan,AFG,EMR,member,AMC,CSC,LIC,38928346.0,997519.0,3610145.0
Angola,AGO,AFR,member,AMC,,LMIC,32866272.0,251284.0,2768485.0
Anguilla,AIA,AMR,territory,,,Other,15002.0,,
Albania,ALB,EUR,member,SF,,UMIC,2877800.0,36791.0,628565.0
Andorra,AND,EUR,member,SF,,HIC,77265.0,3893.0,18469.0
United Arab Emirates,ARE,EMR,member,SF,,HIC,9890402.0,152266.0,359920.0
Argentina,ARG,AMR,member,SF,,UMIC,45195774.0,1159948.0,7153405.0
Armenia,ARM,EUR,member,SF,,UMIC,2963234.0,51461.0,564771.0
American Samoa,ASM,WPR,territory,,,UMIC,55197.0,,
Antigua & Barbuda,ATG,AMR,member,SF,,HIC,97929.0,4896.0,14416.0
Australia,AUS,WPR,member,SF,,HIC,25499884.0,1792626.0,4255305.0
Austria,AUT,EUR,member,No,,HIC,8901064.0,475869.0,2366793.0
Azerbaijan,AZE,EUR,member,SF,,UMIC,10139175.0,189417.0,1254698.0
Burundi,BDI,AFR,member,AMC,CSC,LIC,11890784.0,7888.0,1320725.0
Belgium,BEL,EUR,member,No,,HIC,11522440.0,727440.0,3025414.0
Benin,BEN,AFR,member,AMC,,LMIC,12123200.0,48797.0,1310087.0
Burkina Faso,BFA,AFR,member,AMC,CSC,LIC,20903273.0,56988.0,1864749.0
Bangladesh,BGD,SEAR,member,AMC,,LMIC,164689383.0,556201.0,13696840.0
Bulgaria,BGR,EUR,member,No,,UMIC,6951482.0,164649.0,1959779.0
Bahrain,BHR,EMR,member,SF,,HIC,1701575.0,5071.0,98872.0
Bahamas,BHS,AMR,member,SF,,HIC,393244.0,11955.0,50458.0
Bosnia & Herzegovina,BIH,EUR,member,SF,,UMIC,3280815.0,55710.0,848963.0
Belarus,BLR,EUR,member,No,,UMIC,9449321.0,385996.0,2195420.0
Belize,BLZ,AMR,member,SF,,LMIC,397628.0,4413.0,31947.0
Bermuda,BMU,AMR,territory,,,HIC,62273.0,,
Bolivia,BOL,AMR,member,AMC,,LMIC,11673021.0,132813.0,1245333.0
Brazil,BRA,AMR,member,SF,,UMIC,212559417.0,4831725.0,31043870.0
Barbados,BRB,AMR,member,SF,,HIC,287375.0,7508.0,68331.0
Brunei,BRN,WPR,member,SF,,HIC,437479.0,6106.0,44365.0
Bhutan,BTN,SEAR,member,AMC,,LMIC,771608.0,12228.0,71223.0
Botswana,BWA,AFR,member,SF,,UMIC,2351627.0,23610.0,171500.0
Central African Republic,CAF,AFR,member,AMC,CSC,LIC,4829767.0,8672.0,458019.0
Canada,CAN,AMR,member,SF,,HIC,37742154.0,2629087.0,9678405.0
Switzerland,CHE,EUR,member,SF,,HIC,8654618.0,688378.0,2245767.0
Chile,CHL,AMR,member,SF,,HIC,19116201.0,505945.0,3449362.0
China,CHN,WPR,member,SF,,UMIC,1471286879.0,18032270.0,258370873.0
Côte d'Ivoire,CIV,AFR,member,AMC,CSC,LMIC,26378274.0,110740.0,2643443.0
Cameroon,CMR,AFR,member,AMC,CSC,LMIC,26545863.0,186521.0,2512864.0
Democratic Republic of Congo,COD,AFR,member,AMC,CSC,LIC,89561403.0,321770.0,6322794.0
Congo,COG,AFR,member,AMC,,LMIC,5518087.0,22903.0,604714.0
Cook Islands,COK,WPR,member,No,,Other,17564.0,352.0,808.0
Colombia,COL,AMR,member,SF,,UMIC,50882891.0,1047323.0,6985756.0
Comoros,COM,AFR,member,AMC,,LMIC,869601.0,2334.0,98646.0
Cabo Verde,CPV,AFR,member,AMC,,LMIC,555987.0,4643.0,93080.0
Costa Rica,CRI,AMR,member,SF,,UMIC,5094118.0,85457.0,801922.0
Cuba,CUB,AMR,member,No,,UMIC,11326616.0,576167.0,2487080.0
Curaçao,CUW,AMR,territory,,,HIC,164093.0,,41471.0
Cayman Islands,CYM,AMR,territory,,,HIC,65720.0,,
Cyprus,CYP,EUR,member,No,,HIC,888005.0,29016.0,245598.0
Czechia,CZE,EUR,member,No,,HIC,10693939.0,376756.0,2825598.0
Germany,DEU,EUR,member,No,,HIC,83166711.0,5584434.0,24440892.0
Djibouti,DJI,EMR,member,AMC,CSC,LMIC,988000.0,7124.0,156816.0
Dominica,DMA,AMR,member,AMC,,UMIC,71991.0,1440.0,11663.0
Denmark,DNK,EUR,member,No,,HIC,5822763.0,519988.0,1534340.0
Dominican Republic,DOM,AMR,member,SF,,UMIC,10847910.0,180250.0,1251287.0
Algeria,DZA,AFR,member,AMC,,LMIC,43851044.0,387079.0,8430581.0
Ecuador,ECU,AMR,member,SF,,UMIC,17643054.0,208611.0,2018072.0
Egypt,EGY,EMR,member,AMC,,LMIC,102334404.0,815267.0,8717911.0
Spain,ESP,EUR,member,No,,HIC,47332614.0,1663771.0,12528171.0
Estonia,EST,EUR,member,No,,HIC,1328976.0,40870.0,360416.0
Ethiopia,ETH,AFR,member,AMC,CSC,LIC,114963588.0,416370.0,4201564.0
Finland,FIN,EUR,member,No,,HIC,5525292.0,425664.0,1630214.0
Fiji,FJI,WPR,member,AMC,,UMIC,896445.0,3851.0,89863.0
France,FRA,EUR,member,No,,HIC,65039359.0,4152645.0,17797436.0
Micronesia,FSM,WPR,member,AMC,,LMIC,115023.0,1184.0,24725.0
Gabon,GAB,AFR,member,No,CSC,UMIC,2225734.0,19096.0,264199.0
United Kingdom,GBR,EUR,member,SF,,HIC,67886004.0,4482763.0,16870737.0
Georgia,GEO,EUR,member,SF,,UMIC,3989175.0,75607.0,871852.0
Ghana,GHA,AFR,member,AMC,CSC,LMIC,31072940.0,404780.0,1724221.0
Guinea,GIN,AFR,member,AMC,CSC,LIC,13132795.0,15946.0,1263523.0
Guadeloupe,GLP,AMR,territory,,,Other,400124.0,,107188.0
Gambia,GMB,AFR,member,AMC,CSC,LIC,2416668.0,5634.0,218168.0
Guinea-Bissau,GNB,AFR,member,AMC,CSC,LIC,1968001.0,6139.0,187418.0
Equatorial Guinea,GNQ,AFR,member,No,,UMIC,1402985.0,12930.0,54141.0
Greece,GRC,EUR,member,No,,HIC,10718565.0,247791.0,3029473.0
Grenada,GRD,AMR,member,AMC,,UMIC,112523.0,2252.0,17160.0
Guatemala,GTM,AMR,member,SF,,UMIC,17915568.0,125971.0,1340379.0
French Guiana,GUF,AMR,territory,,,Other,298682.0,,27967.0
Guam,GUM,WPR,territory,,,HIC,168775.0,,46970.0
Guyana,GUY,AMR,member,AMC,,UMIC,786552.0,7612.0,88929.0
Honduras,HND,AMR,member,AMC,,LMIC,9904607.0,80819.0,760007.0
Croatia,HRV,EUR,member,No,,HIC,4058165.0,109592.0,1171841.0
Haiti,HTI,AMR,member,AMC,CSC,LMIC,11402528.0,58078.0,609491.0
Hungary,HUN,EUR,member,No,,HIC,9769526.0,312315.0,2590872.0
Indonesia,IDN,SEAR,member,AMC,,LMIC,273523615.0,1807960.0,28803892.0
India,IND,SEAR,member,AMC,,LMIC,1380004385.0,5824562.0,144322343.0
Ireland,IRL,EUR,member,No,,HIC,4964440.0,288206.0,997954.0
Iran,IRN,EMR,member,SF,,LMIC,83992949.0,818176.0,9005131.0
Iraq,IRQ,EMR,member,SF,,UMIC,40222493.0,366065.0,4609279.0
Iceland,ISL,EUR,member,No,,HIC,364134.0,22968.0,75860.0
Israel,ISR,EUR,member,SF,,HIC,8655541.0,475286.0,1456042.0
Italy,ITA,EUR,member,No,,HIC,59641488.0,1931331.0,18317015.0
Jamaica,JAM,AMR,member,SF,,UMIC,2961167.0,38202.0,404517.0
Jordan,JOR,EMR,member,SF,,UMIC,10203134.0,99108.0,415130.0
Japan,JPN,WPR,member,SF,,HIC,126476461.0,10909282.0,36174100.0
Kazakhstan,KAZ,EUR,member,No,,UMIC,18776707.0,482244.0,2399336.0
Kenya,KEN,AFR,member,AMC,CSC,LMIC,53771296.0,472310.0,5293329.0
Kyrgyzstan,KGZ,EUR,member,AMC,,LMIC,6524191.0,94969.0,559009.0
Cambodia,KHM,WPR,member,AMC,,LMIC,16718965.0,57786.0,1323073.0
Kiribati,KIR,WPR,member,AMC,,LMIC,119449.0,2428.0,8507.0
Saint Kitts & Nevis,KNA,AMR,member,SF,,HIC,53192.0,2300.0,7642.0
Republic of Korea,KOR,WPR,member,SF,,HIC,51269185.0,2080345.0,12394485.0
Kuwait,KWT,EMR,member,SF,,HIC,4270571.0,71572.0,305603.0
Laos,LAO,WPR,member,AMC,,LMIC,7275560.0,17378.0,513278.0
Lebanon,LBN,EMR,member,SF,,UMIC,6825445.0,82801.0,1138313.0
Liberia,LBR,AFR,member,AMC,,LIC,5057681.0,36001.0,567958.0
Libya,LBY,EMR,member,SF,,UMIC,6871292.0,74168.0,495173.0
Saint Lucia,LCA,AMR,member,AMC,,UMIC,183627.0,740.0,19521.0
Sri Lanka,LKA,SEAR,member,AMC,,LMIC,21413249.0,151758.0,3633139.0
Lesotho,LSO,AFR,member,AMC,,LMIC,2142249.0,16143.0,306520.0
Lithuania,LTU,EUR,member,No,,HIC,2794090.0,92625.0,760356.0
Luxembourg,LUX,EUR,member,No,,HIC,626108.0,31975.0,129141.0
Latvia,LVA,EUR,member,No,,HIC,1907675.0,56591.0,523066.0
Morocco,MAR,EMR,member,AMC,,LMIC,36910560.0,116863.0,2961430.0
Monaco,MCO,EUR,member,SF,,HIC,39244.0,1980.0,13637.0
Republic of Moldova,MDA,EUR,member,AMC,,UMIC,4033963.0,73288.0,782943.0
Madagascar,MDG,AFR,member,AMC,CSC,LIC,27691018.0,80166.0,3039903.0
Maldives,MDV,SEAR,member,AMC,,UMIC,540544.0,17054.0,33136.0
Mexico,MEX,AMR,member,SF,,UMIC,128932753.0,1599664.0,15028718.0
Marshall Islands,MHL,WPR,member,AMC,,UMIC,59194.0,4917.0,8449.0
North Macedonia,MKD,EUR,member,No,,UMIC,2083380.0,45007.0,439420.0
Mali,MLI,AFR,member,AMC,CSC,LIC,20250833.0,22785.0,1689827.0
Malta,MLT,EUR,member,No,,HIC,514564.0,20038.0,126558.0
Myanmar,MMR,SEAR,member,AMC,,LMIC,54409800.0,162273.0,5637607.0
Montenegro,MNE,EUR,member,SF,,UMIC,628062.0,12905.0,141212.0
Mongolia,MNG,WPR,member,AMC,,LMIC,3278290.0,39938.0,575815.0
Northern Mariana Islands,MNP,WPR,territory,,,HIC,57557.0,,
Mozambique,MOZ,AFR,member,AMC,,LIC,31255435.0,111542.0,2853011.0
Mauritania,MRT,AFR,member,AMC,,LMIC,4649658.0,16874.0,523354.0
Montserrat,MSR,AMR,territory,,,Other,4999.0,,
Mauritius,MUS,AFR,member,SF,,UMIC,1271768.0,21815.0,243101.0
Malawi,MWI,AFR,member,AMC,CSC,LIC,19129952.0,29519.0,1689433.0
Malaysia,MYS,WPR,member,No,,UMIC,32365999.0,639617.0,3702369.0
Namibia,NAM,AFR,member,No,,UMIC,2540905.0,19318.0,146909.0
New Caledonia,NCL,WPR,territory,,,HIC,285498.0,,10240.0
Niger,NER,AFR,member,AMC,CSC,LIC,24206644.0,44228.0,2104176.0
Nigeria,NGA,AFR,member,AMC,CSC,LMIC,206139589.0,1109420.0,20606608.0
Nicaragua,NIC,AMR,member,AMC,,LMIC,6624554.0,59987.0,599714.0
Niue,NIU,WPR,member,No,,Other,1618.0,36.0,286.0
Netherlands,NLD,EUR,member,No,,HIC,17407585.0,1467661.0,4657170.0
Norway,NOR,EUR,member,No,,HIC,5367580.0,564302.0,1287072.0
Nepal,NPL,SEAR,member,AMC,,LMIC,29136808.0,68798.0,3693158.0
Nauru,NRU,WPR,member,SF,,HIC,10834.0,218.0,742.0
New Zealand,NZL,WPR,member,SF,,HIC,4822233.0,317226.0,813455.0
Oman,OMN,EMR,member,SF,,HIC,5106626.0,99901.0,234088.0
Pakistan,PAK,EMR,member,AMC,,LMIC,220892340.0,1148724.0,15408512.0
Panama,PAN,AMR,member,SF,,UMIC,4314767.0,102528.0,550050.0
Peru,PER,AMR,member,SF,,UMIC,32971854.0,389042.0,4270113.0
Philippines,PHL,WPR,member,AMC,,LMIC,109581078.0,549858.0,9861907.0
Palau,PLW,WPR,member,SF,,HIC,18092.0,364.0,1792.0
Papua New Guinea,PNG,WPR,member,AMC,CSC,LMIC,8947024.0,14292.0,1646256.0
Poland,POL,EUR,member,No,,HIC,37958138.0,1064293.0,9968194.0
Puerto Rico,PRI,AMR,associate-member,,,HIC,2860853.0,,797015.0
Portugal,PRT,EUR,member,No,,HIC,10295909.0,461765.0,3034934.0
Paraguay,PRY,AMR,member,SF,,UMIC,7132538.0,129342.0,729005.0
West Bank and Gaza,PSE,EMR,territory,AMC,,LMIC,5101414.0,,264251.0
French Polynesia,PYF,WPR,territory,,,HIC,280908.0,,39749.0
Qatar,QAT,EMR,member,SF,,HIC,2881053.0,34325.0,115128.0
Romania,ROU,EUR,member,No,,UMIC,19328838.0,412908.0,4978849.0
Russian Federation,RUS,EUR,member,No,,UMIC,145934460.0,5659036.0,33431826.0
Rwanda,RWA,AFR,member,AMC,,LIC,12952218.0,46465.0,1435495.0
Saudi Arabia,SAU,EMR,member,SF,,HIC,34813871.0,743145.0,2178076.0
Sudan,SDN,EMR,member,AMC,CSC,LIC,43849260.0,203322.0,6958106.0
Senegal,SEN,AFR,member,AMC,CSC,LMIC,16743927.0,65530.0,832868.0
Singapore,SGP,WPR,member,SF,,HIC,5850342.0,146302.0,841189.0
Saint Helena,SHN,AFR,territory,,,Other,6071.0,,
Solomon Islands,SLB,WPR,member,AMC,CSC,LMIC,686884.0,6031.0,58780.0
Sierra Leone,SLE,AFR,member,AMC,CSC,LIC,7976983.0,22983.0,811249.0
El Salvador,SLV,AMR,member,AMC,,LMIC,6486205.0,67857.0,800876.0
San Marino,SMR,EUR,member,SF,,HIC,33938.0,1697.0,9884.0
Somalia,SOM,EMR,member,AMC,CSC,LIC,15893222.0,12608.0,1080070.0
Serbia,SRB,EUR,member,SF,,UMIC,6926705.0,196066.0,2221992.0
South Sudan,SSD,AFR,member,AMC,CSC,LIC,11193725.0,58103.0,382809.0
Sao Tome & Principe,STP,AFR,member,AMC,,LMIC,219159.0,2194.0,24448.0
Suriname,SUR,AMR,member,SF,,UMIC,586632.0,8081.0,66327.0
Slovakia,SVK,EUR,member,No,,HIC,5457873.0,205285.0,1299213.0
Slovenia,SVN,EUR,member,No,,HIC,2095861.0,70812.0,587043.0
Sweden,SWE,EUR,member,No,,HIC,10327589.0,747436.0,2653352.0
Eswatini,SWZ,AFR,member,AMC,,LMIC,1160164.0,14530.0,120384.0
Sint Maarten,SXM,AMR,territory,,,HIC,42882.0,,
Seychelles,SYC,AFR,member,No,,HIC,98347.0,1064.0,13376.0
Syria,SYR,EMR,member,AMC,CSC,LIC,17500658.0,189680.0,2003191.0
Turks & Caicos Islands,TCA,AMR,territory,,,HIC,38718.0,,
Chad,TCD,AFR,member,AMC,CSC,LIC,16425864.0,31500.0,424973.0
Togo,TGO,AFR,member,AMC,,LIC,8278724.0,44425.0,870455.0
Thailand,THA,SEAR,member,No,,UMIC,69799978.0,683112.0,13962436.0
Tajikistan,TJK,EUR,member,AMC,,LMIC,9537642.0,90889.0,584617.0
Tokelau,TKL,WPR,associate-member,,,Other,1350.0,,
Turkmenistan,TKM,EUR,member,No,,UMIC,6031187.0,99117.0,514238.0
Timor-Leste,TLS,SEAR,member,AMC,,LMIC,1318445.0,5719.0,89349.0
Tonga,TON,WPR,member,AMC,,UMIC,105695.0,1026.0,6368.0
Trinidad & Tobago,TTO,AMR,member,SF,,HIC,1399488.0,35448.0,245641.0
Tunisia,TUN,EMR,member,AMC,,LMIC,11818619.0,103303.0,1652471.0
Turkey,TUR,EUR,member,No,,UMIC,84339067.0,1446821.0,11453050.0
Tuvalu,TUV,WPR,member,AMC,,UMIC,11792.0,239.0,1171.0
Tanzania,TZA,AFR,member,AMC,CSC,LMIC,59734218.0,215481.0,2628138.0
Uganda,UGA,AFR,member,AMC,CSC,LIC,45741007.0,135373.0,3474185.0
Ukraine,UKR,EUR,member,AMC,,LMIC,43733759.0,1241855.0,10447105.0
Uruguay,URY,AMR,member,SF,,HIC,3473730.0,138517.0,713402.0
United States of America,USA,AMR,member,No,,HIC,331002651.0,22440534.0,56719945.0
Uzbekistan,UZB,EUR,member,AMC,,LMIC,33469199.0,840120.0,2925212.0
Saint Vincent & The Grenadines,VCT,AMR,member,AMC,,UMIC,110940.0,1014.0,16824.0
Venezuela,VEN,AMR,member,SF,,UMIC,28435940.0,536427.0,3547021.0
British Virgin Islands,VGB,AMR,territory,,,HIC,30237.0,,
VietNam,VNM,WPR,member,AMC,,LMIC,97338579.0,581985.0,8058818.0
Vanuatu,VUT,WPR,member,AMC,,LMIC,307145.0,284.0,27830.0
Wallis & Futuna Islands,WLF,WPR,territory,,,Other,11246.0,,
Samoa,WSM,WPR,member,AMC,,LMIC,198414.0,880.0,16462.0
Kosovo,XKX,EUR,territory,AMC,,UMIC,1795666.0,,
Yemen,YEM,EMR,member,AMC,CSC,LIC,29825964.0,83935.0,1431744.0
South Africa,ZAF,AFR,member,No,,UMIC,59308690.0,1075564.0,5216144.0
Zambia,ZMB,AFR,member,AMC,CSC,LMIC,18383955.0,94617.0,1454770.0
Zimbabwe,ZWE,AFR,member,AMC,,LMIC,14862924.0,51323.0,1429104.0
