iso,secured_vaccines_pc,adm_td_add_pc,del_dose_add_pc
AFG,1.3,0.4,0.6
ALB,1.2,1.1,1.2
DZA,1.2,,0.7
ASM,,2.1,
AND,2.2,2.0,2.2
AGO,1.7,0.8,1.0
AIA,,1.6,1.8
ATG,2.6,1.4,2.6
ARG,3.3,,3.4
ARM,1.2,0.7,1.0
ABW,,2.0,1.8
AUS,9.9,2.6,3.2
AUT,6.3,2.3,5.7
AZE,1.5,1.4,1.5
BHS,1.7,0.9,1.5
BHR,2.2,,2.2
BGD,2.7,2.2,3.3
BRB,1.8,1.3,1.8
BLR,1.7,2.2,2.3
BEL,6.3,2.5,2.3
BLZ,2.7,1.3,2.4
BEN,0.9,,0.6
BMU,,2.1,2.3
BTN,3.3,,3.2
BOL,2.5,1.4,2.1
BIH,1.2,,0.9
BWA,2.4,1.3,1.6
BRA,2.8,2.4,3.0
VGB,,1.4,1.5
BRN,3.1,3.0,3.2
BGR,6.3,0.7,2.1
BFA,1.2,0.3,0.4
BDI,1.2,0.0,0.1
CPV,2.1,,2.1
KHM,4.4,2.8,3.1
CMR,1.2,0.2,0.3
CAN,8.3,2.6,6.0
CAF,1.2,0.6,0.8
CYM,,2.3,2.5
TCD,1.2,0.5,0.7
CHL,4.5,3.4,3.7
CHN,2.6,2.4,2.6
MNP,,2.1,
COL,2.7,1.8,2.8
COM,2.0,,1.4
COG,1.5,,0.6
COK,,,2.6
CRI,3.0,2.6,3.4
CIV,1.2,,1.1
HRV,6.3,1.3,2.4
CUB,4.0,3.4,4.3
CUW,,1.6,
CYP,6.5,2.1,3.5
CZE,6.3,1.7,3.3
DNK,6.3,2.6,2.4
DJI,2.2,0.4,2.2
DMA,4.0,0.9,3.3
DOM,2.9,1.5,1.6
COD,1.5,0.2,0.4
ECU,3.0,,3.2
EGY,2.2,1.1,1.2
SLV,2.5,1.8,2.1
GNQ,0.6,,0.7
EST,6.3,1.7,3.4
SWZ,1.2,0.7,0.8
ETH,1.1,0.5,0.7
FJI,2.7,1.7,2.0
FIN,6.3,2.4,3.7
FRA,6.3,2.4,3.8
GUF,,0.8,
PYF,,1.7,2.0
GAB,1.1,,1.0
GMB,1.4,0.6,0.9
GEO,1.4,0.7,0.9
DEU,6.7,2.3,2.9
GHA,1.4,0.7,1.1
GRC,6.3,2.1,3.4
GRD,2.0,0.8,2.1
GLP,,1.0,
GTM,1.3,1.1,1.3
GIN,1.5,0.8,0.9
GNB,1.6,0.3,0.9
GUY,2.5,1.2,1.7
HTI,1.0,0.1,0.1
HND,2.2,1.7,2.0
HUN,7.0,1.7,3.4
ISL,3.6,2.4,4.5
IND,2.0,1.6,1.8
IDN,2.2,1.6,1.8
IRN,2.2,1.8,2.1
IRQ,0.9,,0.5
IRL,6.3,2.5,3.3
ISR,5.5,,2.4
ITA,7.5,2.5,2.6
JAM,1.9,0.5,1.3
JPN,6.7,3.0,3.3
JOR,1.3,,1.1
KAZ,1.4,1.8,1.2
KEN,1.2,0.4,0.6
KIR,2.7,,2.9
XKX,,,1.5
KWT,2.1,1.9,2.1
KGZ,1.6,0.5,1.0
LAO,2.5,1.9,2.5
LVA,6.4,1.6,4.6
LBN,1.3,,1.1
LSO,1.7,0.6,1.2
LBR,1.3,,1.0
LBY,1.6,,1.0
LTU,6.3,1.6,3.3
LUX,6.3,2.1,4.4
MDG,1.0,0.1,0.3
MWI,1.0,0.4,0.5
MYS,2.9,2.2,2.7
MDV,4.0,1.8,2.9
MLI,1.3,0.3,0.4
MLT,6.3,2.5,2.7
MHL,1.4,1.9,
MRT,1.3,0.9,1.3
MUS,4.3,2.1,2.3
MEX,2.5,1.7,2.1
FSM,1.4,1.7,
MCO,1.8,,1.8
MNG,2.5,1.7,1.9
MNE,1.7,,1.7
MSR,,0.9,1.0
MAR,2.6,1.5,1.7
MOZ,2.2,0.9,1.4
MMR,3.0,1.6,1.4
NAM,0.8,0.4,0.8
NRU,3.3,,4.3
NPL,2.4,2.1,2.4
NLD,6.3,,3.0
NCL,,1.7,1.8
NZL,7.2,2.5,2.8
NIC,2.1,2.3,2.5
NER,1.3,0.3,0.4
NGA,1.2,0.6,0.7
NIU,,3.0,4.5
MKD,2.1,0.9,1.1
NOR,3.0,2.3,4.3
OMN,1.5,,1.5
PAK,1.4,1.5,1.7
PLW,2.7,2.8,0.3
PAN,3.0,2.0,2.4
PNG,1.0,0.1,0.1
PRY,1.6,1.3,1.5
PER,4.7,2.7,3.1
PHL,2.9,1.7,2.3
POL,6.3,1.5,2.8
PRT,6.3,2.7,3.5
PRI,,2.7,
QAT,2.8,2.6,2.9
KOR,4.4,2.6,3.5
MDA,1.4,0.6,0.6
ROU,6.3,0.8,2.8
RUS,2.0,1.3,1.4
RWA,2.4,2.1,2.6
SHN,,,1.4
KNA,1.3,1.2,1.3
LCA,1.7,0.7,1.9
VCT,2.6,0.7,2.6
WSM,2.8,,2.9
SMR,2.2,,2.3
STP,1.9,1.2,1.9
SAU,2.1,2.0,4.1
SEN,1.3,0.2,0.4
SRB,1.1,1.0,1.4
SYC,2.9,2.3,3.0
SLE,1.1,0.9,1.2
SGP,2.7,2.6,2.8
SXM,,1.6,
SVK,6.7,1.3,2.0
SVN,6.3,1.4,3.4
SLB,1.5,0.9,1.1
SOM,1.3,0.6,0.8
ZAF,1.2,0.7,0.7
SSD,1.2,0.3,0.5
ESP,6.3,2.4,4.2
LKA,2.6,,2.1
SDN,1.3,0.5,0.7
SUR,1.8,0.9,1.4
SWE,6.3,2.2,4.4
CHE,8.4,1.9,2.4
SYR,1.3,0.3,0.8
TJK,1.7,,2.2
TZA,0.8,0.7,0.8
THA,3.4,2.0,2.3
TLS,1.4,1.5,1.8
TGO,1.6,0.4,0.8
TKL,,,4.8
TON,2.1,1.9,2.5
TTO,2.7,1.1,1.7
TUN,2.0,1.1,1.5
TUR,2.8,,2.0
TKM,2.6,,2.5
TCA,,1.9,2.1
TUV,2.2,,3.2
ARE,2.7,,2.8
UGA,1.4,0.6,1.3
GBR,6.7,,3.2
UKR,3.0,,1.2
URY,2.8,2.6,2.8
USA,4.0,2.0,3.3
UZB,2.1,2.3,2.6
VUT,1.8,,1.5
VEN,1.6,1.3,1.7
VNM,3.2,2.7,3.0
WLF,,,1.8
PSE,2.6,,1.2
YEM,1.2,0.0,0.1
ZMB,1.4,0.7,1.2
ZWE,2.9,0.9,1.2
